N,P,K,ph,temperature,humidity,rainfall,label
89,60,17,5.983952675,25.37548751,57.21025565,101.7004306,maize
69,51,23,6.80163854,22.21738222,72.85462807,106.6213157,maize
96,46,22,6.499936446,20.58314011,69.00128641,66.29390357,maize
61,60,15,6.265564338,24.87502824,68.74248334,91.26056654,maize
74,58,18,6.727303282,20.03728219,56.35606753,109.024141,maize
74,43,23,6.325235159,25.95263264,61.89082199,99.57981207,maize
63,43,17,6.807487794,19.28889933,65.47050802,71.3195307,maize
99,36,20,6.671085817,20.57981887,65.34583901,78.34604471,maize
77,36,23,6.648725327,24.71417533,56.73426469,88.45361858,maize
87,60,23,6.439071996,20.27317074,63.91281869,62.50351892,maize
60,38,17,6.474476516,18.41932981,64.23580251,76.41312437,maize
94,54,17,5.871647806,23.39128187,61.74427165,107.3198135,maize
95,38,22,5.730617109,19.84939404,61.24500053,100.7689246,maize
84,44,21,5.850439831,21.869274,61.91044947,107.2681929,maize
77,58,19,5.791649933,22.8056033,56.50768935,101.5952794,maize
66,44,20,6.740000688,19.0781471,69.02298571,80.72515943,maize
63,35,16,6.272417541,22.02720976,65.35549924,83.73280082,maize
79,45,20,5.715208817,23.80546189,59.24537979,89.9622014,maize
72,60,25,5.773454729,18.52510753,69.0276233,88.10234397,maize
67,51,24,5.584171461,23.50297882,61.32026065,64.77791424,maize
86,36,24,5.787268394,26.54986394,72.89187265,73.33636055,maize
76,48,18,5.77597783,19.29563411,69.63481219,83.21030571,maize
75,53,18,6.864793607,20.68899915,59.4375337,103.651438,maize
81,45,23,6.192360003,19.32666088,68.034493,84.22969177,maize
73,45,21,6.636803223,24.60532218,73.58868502,96.59195302,maize
71,35,24,5.826426917,22.27373646,59.52193158,67.96704792,maize
96,54,22,6.960358276,25.70196694,61.33450447,83.20711308,maize
99,39,18,6.11275104,19.20129357,68.30578978,87.85092352,maize
62,48,20,6.708446922,21.70181447,60.47470519,95.71388473,maize
86,37,16,5.561510732,20.51716779,59.21235483,67.61013737,maize
94,50,19,5.873242491,23.30355338,73.62548442,97.59081274,maize
76,39,24,6.995843776,24.2547451,55.64709899,64.23845455,maize
77,52,17,5.714799723,24.86374934,65.7420046,75.82270467,maize
74,39,23,6.78073637,22.6265115,65.77472881,88.17251033,maize
81,49,20,5.513697923,18.04185513,60.61494304,104.2321615,maize
63,42,21,5.798423908,23.26237612,72.33125523,67.10225139,maize
99,38,21,6.352471866,22.88330922,71.59722446,67.72777298,maize
90,52,25,6.822586546,25.97482359,69.36385721,103.2234212,maize
68,40,19,6.655426355,26.14384005,66.20569924,107.2361366,maize
60,57,24,6.121294041,18.66116213,61.55327249,75.03247667,maize
71,52,18,5.790770203,25.10787449,55.97732754,78.16077693,maize
61,59,17,6.47444292,23.33844615,59.24580604,105.0083144,maize
88,38,15,6.455116637,25.08239719,65.92195844,62.49190812,maize
65,60,22,6.606984086,25.36768364,72.52054555,107.9124111,maize
78,37,22,6.330554389,25.34217103,63.31801994,74.52082026,maize
78,58,15,6.528631266,25.00933355,67.816568,62.91359494,maize
92,60,23,5.721667141,18.66746724,71.516474,69.93293255,maize
79,59,17,6.644205485,20.37999665,63.73849998,108.5054416,maize
91,55,15,6.376651091,18.09300227,72.61024172,78.96159541,maize
76,51,18,6.247040422,26.16985907,71.96246617,79.84925393,maize
87,48,25,6.656730008,18.65396672,61.37879671,93.62039175,maize
71,60,22,6.2048017,26.07470121,59.37147589,85.75692395,maize
90,57,24,6.158860284,18.92851916,72.80086137,82.34162918,maize
67,35,22,6.385684214,23.30546753,63.24648023,108.7603001,maize
60,54,19,6.417820493,18.74826712,62.49878458,70.23401597,maize
83,58,23,6.381201909,19.74213321,59.66263104,65.50861389,maize
83,57,19,6.877869005,25.73044432,70.74739256,98.73771338,maize
40,72,77,7.485996067,17.02498456,16.98861173,88.55123143,chickpea
23,72,84,6.920251378,19.02061277,17.13159126,79.92698081,chickpea
39,58,85,5.996932037,17.88776475,15.40589717,68.54932919,chickpea
22,72,85,6.391173589,18.86805647,15.65809214,88.51048983,chickpea
36,67,77,7.152811172,18.36952567,19.56381041,79.26357665,chickpea
32,73,81,5.988992796,20.45078582,15.40312102,92.68373702,chickpea
58,70,84,6.231049028,20.6543203,16.60820843,74.6631118,chickpea
59,70,84,7.550808267,17.3348681,18.74926979,82.61734721,chickpea
42,62,75,7.010570541,18.17912258,18.90426935,81.84997529,chickpea
28,74,81,8.753795334,18.01272266,18.30968112,81.98568791,chickpea
58,66,79,8.718192847,20.99373558,19.33470387,93.55280105,chickpea
43,66,79,7.976607593,19.46233971,15.22538951,74.58565097,chickpea
58,63,81,6.515499549,19.81344531,14.69765308,78.96514709,chickpea
23,62,85,8.490127142,18.97424756,19.5161216,80.7108745,chickpea
27,62,77,6.576415562,18.19737048,14.71070537,70.18185181,chickpea
28,72,84,6.481783043,18.72963144,19.18197264,71.58010169,chickpea
50,56,76,7.966605025,20.99502153,19.8601304,73.50734019,chickpea
39,71,84,8.140825437,20.28155898,16.39535215,82.52339655,chickpea
25,78,76,7.228963452,17.48042641,15.7559405,66.96980581,chickpea
31,70,77,6.492546046,20.88818675,14.32313811,90.46228334,chickpea
26,80,83,7.528599957,17.08498521,16.14565756,71.31007253,chickpea
25,68,77,7.701446446,20.09340593,15.11279612,85.74904898,chickpea
31,78,76,8.519975748,17.57212145,14.99927489,89.31050665,chickpea
60,68,83,6.620900869,19.12065218,18.43475844,85.52950164,chickpea
59,62,83,8.104396058,18.57665902,19.22008229,72.94940441,chickpea
22,67,78,6.204090835,17.16606398,14.42457525,72.32667516,chickpea
36,65,80,6.051091339,18.2872007,16.67921616,74.87445574,chickpea
59,60,84,7.690962338,19.03025305,18.66725565,94.70992037,chickpea
54,77,85,7.829211144,17.1418614,17.0662427,83.74606679,chickpea
43,68,81,6.761599706,17.47809436,17.93253975,78.92060234,chickpea
28,76,82,6.654425315,20.56601874,14.25803981,83.75937135,chickpea
42,79,85,6.129533877,17.22385224,15.82069268,76.57580954,chickpea
32,60,83,8.829273328,19.69141713,19.44225438,91.76071648,chickpea
22,78,76,8.621662982,17.84851658,19.09172907,76.32470713,chickpea
31,79,75,8.204862075,18.8202251,16.1074793,89.73119396,chickpea
28,58,81,6.18042747,17.47500984,16.54314829,93.35034262,chickpea
57,58,77,7.978996755,18.72649425,17.58406365,81.20176515,chickpea
49,55,78,7.863113671,18.65580107,16.17772668,81.70769297,chickpea
46,76,77,6.967843048,18.2356751,19.68538502,83.74879344,chickpea
54,61,77,6.206582193,18.81198127,15.21618225,77.5429424,chickpea
38,60,76,8.868741443,18.65054116,17.80852431,77.92798682,chickpea
59,55,79,8.766128654,20.36720401,16.89574311,82.2545577,chickpea
36,76,75,8.736337905,18.38120357,16.63805158,70.52056697,chickpea
57,68,81,8.081095263,17.17012591,17.30457712,72.78624223,chickpea
35,66,81,6.138243973,19.37101121,15.77458129,85.24819851,chickpea
35,64,78,7.496645259,17.92845928,14.27327988,85.37378769,chickpea
52,60,79,8.380185271,19.45339934,18.23490739,75.6317566,chickpea
27,76,83,6.289614016,19.12829388,14.92241479,89.61857826,chickpea
57,60,84,6.586777189,19.1034283,17.26184541,75.49101167,chickpea
52,68,78,6.89655198,17.48504075,16.96070581,86.05078037,chickpea
43,79,79,7.806747656,19.40751744,18.98030507,80.25064637,chickpea
44,74,85,7.150681303,20.18649426,19.63719995,78.26039559,chickpea
24,55,78,6.64919573,17.30287885,15.15405941,75.57790384,chickpea
29,77,75,7.778591618,17.50361137,15.48083156,72.9446671,chickpea
20,60,78,6.358740355,18.17234999,14.70085967,90.7760707,chickpea
56,67,78,8.255450758,17.57445618,16.71826572,77.81891424,chickpea
37,66,85,6.456148474,20.93175255,18.91295403,78.06910795,chickpea
49,71,76,6.613072145,19.71098332,17.63879418,85.57925437,chickpea
59,69,80,8.165359297,19.07937684,17.86754927,69.40619137,chickpea
20,79,77,7.64867466,18.54988627,16.02542689,76.32565249,chickpea
24,56,85,6.545888558,18.19903647,17.41333199,80.6405403,chickpea
51,72,75,7.104224797,18.88852533,14.99451145,80.1113384,chickpea
57,73,85,7.358099622,18.49311205,14.72115044,91.94595352,chickpea
22,64,82,6.4740245,19.48974337,17.17260319,87.51312796,chickpea
52,73,79,7.840339389,17.25769499,18.74943955,94.00287214,chickpea
29,75,75,7.064790365,19.62416326,18.71483156,88.4585692,chickpea
44,59,78,7.599033472,20.67526473,19.85388984,84.78344008,chickpea
41,69,82,6.715587232,20.02381489,16.63294455,68.97806542,chickpea
52,56,85,6.81712422,20.1187446,14.44228303,88.68168643,chickpea
34,76,80,7.985417393,20.65691793,15.84572566,65.23811143,chickpea
42,74,83,7.545258424,19.2582557,14.2804191,65.78042032,chickpea
34,71,79,7.728998197,17.927806,15.85622899,74.63872762,chickpea
27,73,79,7.354973451,19.16288268,15.83500655,82.69766829,chickpea
30,70,79,7.313122235,20.26942271,19.96978871,69.64449182,chickpea
57,57,75,7.785039076,17.09104223,18.25142068,87.27444866,chickpea
27,79,82,6.307004923,17.06579293,17.54024066,70.87150577,chickpea
32,71,85,6.403982316,20.62767492,14.44008871,92.06630306,chickpea
31,76,82,7.599279991,20.8248451,17.85057083,79.20509212,chickpea
33,75,84,7.217018459,19.46210401,18.72831993,68.81405149,chickpea
47,80,77,7.561108006,17.18248372,16.42891834,72.85017344,chickpea
54,62,80,7.489545074,17.48911699,16.39055394,79.45758333,chickpea
47,79,78,6.609696734,17.48395377,14.76014523,65.11365631,chickpea
35,57,83,7.476800943,19.48316794,17.44534641,80.4986291,chickpea
53,73,77,7.325451279,19.71359733,18.09665739,73.64476535,chickpea
45,61,78,6.489389282,19.48649305,16.06240074,81.5284269,chickpea
37,78,79,7.786366322,19.95264829,14.82633099,88.6810311,chickpea
30,75,81,6.408437886,19.41789736,16.80472243,68.4951189,chickpea
37,55,82,8.423873703,19.45591848,18.02235902,78.44910564,chickpea
53,65,76,8.719960893,20.19137759,16.41998269,77.33795356,chickpea
22,60,85,7.811997977,18.8392908,14.74071856,94.78189594,chickpea
60,61,78,6.317153205,20.71219282,19.83643308,94.03659867,chickpea
42,67,77,7.114405288,18.99424448,15.9362937,78.69707199,chickpea
39,76,76,8.135900726,19.96837462,15.57324389,69.15759062,chickpea
35,63,76,7.714153038,17.81564548,17.60756635,90.82097601,chickpea
30,65,82,7.103798069,20.71424384,15.27824066,76.77888672,chickpea
57,56,78,8.861479668,17.34150229,18.75626255,67.9545435,chickpea
48,65,78,7.861128148,17.43732714,14.33847406,73.0926704,chickpea
36,56,83,7.4526709,18.89780215,19.76182946,69.09512477,chickpea
40,58,75,7.168096055,18.59190771,14.77959596,89.60982451,chickpea
49,69,82,7.26311855,18.31561493,15.36143547,81.78710463,chickpea
13,60,25,5.68597166,17.13692774,20.59541693,128.256862,kidneybeans
25,70,16,5.759237003,19.63474332,18.90705639,106.3598183,kidneybeans
31,55,22,5.873171894,22.91350245,21.33953114,109.225556,kidneybeans
40,64,16,5.926676985,16.43340342,24.24045875,140.3717815,kidneybeans
2,61,20,5.95561668,22.13974653,23.02251117,76.64128258,kidneybeans
26,65,22,5.949949081,17.84806561,18.77621951,143.0984171,kidneybeans
17,57,21,5.789214289,19.88394011,20.31564139,60.91974792,kidneybeans
26,80,18,5.581021521,19.32509638,23.3334788,104.7783947,kidneybeans
17,59,17,5.689858133,18.4167001,23.42829938,132.9801054,kidneybeans
27,59,22,5.794158504,21.81167649,23.20591245,130.0608093,kidneybeans
28,58,24,5.748190463,19.72702528,18.28173015,143.7630894,kidneybeans
25,57,19,5.566522896,17.15432954,19.87070659,87.99669731,kidneybeans
28,80,17,5.809419584,19.62207826,18.67170854,144.1567454,kidneybeans
25,60,22,5.887263027,21.63149148,21.17919701,134.3649948,kidneybeans
12,78,23,5.99812453,16.06522754,18.72479695,88.06638775,kidneybeans
6,77,25,5.792744849,20.61162204,24.36314135,69.63833855,kidneybeans
22,79,17,5.912289889,21.42451099,20.39659714,116.5206923,kidneybeans
27,80,15,5.788386951,19.07096165,21.21092266,86.21917578,kidneybeans
10,55,23,5.728233081,21.18853178,19.63438599,137.1948633,kidneybeans
23,65,20,5.833940084,23.0429097,22.42610972,108.3684316,kidneybeans
19,78,16,5.967533236,20.65375833,23.10538637,67.71768947,kidneybeans
19,65,25,5.625096446,18.09551014,18.29318436,144.7902323,kidneybeans
22,70,19,5.515615023,18.23775702,21.07643273,69.44951585,kidneybeans
37,64,22,5.954665349,17.48189735,18.8251973,121.9401369,kidneybeans
11,71,17,5.74644777,19.9191786,21.47324158,82.68554379,kidneybeans
18,79,20,5.877347515,20.27514686,23.2353604,139.7521543,kidneybeans
21,63,17,5.979973965,15.77370214,19.2303162,108.3441414,kidneybeans
24,80,22,5.635993966,16.71170642,19.17651433,96.77285817,kidneybeans
34,60,22,5.635231778,17.66148158,18.15302753,100.6711761,kidneybeans
16,75,21,5.679224346,18.50692825,23.61670065,87.0513289,kidneybeans
17,77,23,5.670062975,24.51324787,20.81527638,64.19497947,kidneybeans
37,72,18,5.724242065,18.87614998,24.54038287,105.4120514,kidneybeans
40,73,20,5.811314232,21.59343016,20.31871249,61.13872036,kidneybeans
9,77,17,5.783425416,20.12373284,24.45202552,106.158201,kidneybeans
1,62,23,5.607808432,15.43546065,18.37477907,139.0302034,kidneybeans
33,59,22,5.946999529,22.64236876,21.59396123,122.3886015,kidneybeans
23,59,19,5.852046999,21.98560799,24.87304788,129.5650601,kidneybeans
6,62,22,5.824090984,20.53052663,18.09224048,120.4509288,kidneybeans
25,63,20,5.502999119,15.78601387,21.14544088,95.17028129,kidneybeans
7,79,23,5.821649914,19.6365349,19.68751084,96.65888933,kidneybeans
8,72,17,5.711439256,20.57341244,19.7520218,87.87869161,kidneybeans
27,64,15,5.514927264,20.16080524,24.84207559,138.2362122,kidneybeans
28,66,23,5.99616119,21.53989176,24.25386207,120.6913038,kidneybeans
32,57,18,5.695422863,15.53834801,23.75560241,107.3850593,kidneybeans
27,56,22,5.833010958,19.91853092,20.70099804,108.6434544,kidneybeans
17,77,24,5.568456899,20.76952209,18.93146941,109.0193712,kidneybeans
0,65,15,5.645435626,23.46168338,23.22197648,95.84253438,kidneybeans
13,72,21,5.821194486,24.32116642,21.0278674,60.27552528,kidneybeans
34,60,23,5.659254981,20.12574053,24.96969858,100.0497183,kidneybeans
9,80,19,5.945465949,21.80619564,18.57086554,125.0972687,kidneybeans
11,72,20,5.951177452,19.52226241,24.92607153,113.334026,kidneybeans
3,67,24,5.520880014,17.00067625,19.90790546,103.2926407,kidneybeans
35,69,23,5.578410206,16.78791503,24.96881755,75.45328039,kidneybeans
3,77,25,5.608165195,24.84906168,22.89464642,62.21292186,kidneybeans
23,62,19,5.609435128,16.51783455,20.4555596,98.77794225,kidneybeans
22,71,17,5.509295379,18.15300153,19.38602098,107.6907964,kidneybeans
31,79,25,5.902033406,23.18864385,22.3104551,63.38208822,kidneybeans
34,59,18,5.744117663,23.38002569,21.98879437,87.66898664,kidneybeans
12,63,17,5.717143397,18.358923,19.37703396,138.414764,kidneybeans
27,56,20,5.542690119,19.25975367,20.51346956,94.9533526,kidneybeans
7,63,24,5.858617867,22.95458237,24.03553105,107.7315386,kidneybeans
24,67,22,5.618844277,20.120043,22.89845607,104.6252153,kidneybeans
11,71,24,5.606620346,21.14011423,22.7182355,141.6056722,kidneybeans
37,74,15,5.582178402,24.92360104,18.22590825,62.7089169,kidneybeans
25,76,24,5.56503533,15.33042636,24.91506728,135.3315583,kidneybeans
34,66,17,5.889614577,18.81097271,21.27833035,125.084915,kidneybeans
20,69,15,5.934136378,23.44260668,22.77255917,107.4137246,kidneybeans
37,65,16,5.683548308,22.8352024,18.97267518,63.59276673,kidneybeans
18,74,15,5.70836603,24.9035819,22.27512704,146.4727237,kidneybeans
4,67,25,5.948164454,23.78709569,24.35679348,119.6404412,kidneybeans
37,56,25,5.774755144,22.05592283,19.60379304,126.7265372,kidneybeans
5,59,15,5.97229163,18.87492997,20.18238348,134.1811718,kidneybeans
11,61,21,5.532100554,18.62328774,23.02410338,135.3378033,kidneybeans
22,80,20,5.669560726,23.00884744,18.86880997,100.118612,kidneybeans
12,61,19,5.655726817,19.33162606,24.13995025,68.51253427,kidneybeans
5,74,21,5.591704014,16.24469193,21.35793891,66.97053257,kidneybeans
27,69,22,5.932323085,17.91652287,24.90814655,69.14681022,kidneybeans
31,75,18,5.824208309,15.46789263,21.43780702,88.88796102,kidneybeans
36,68,20,5.86442953,17.06104474,23.77201471,81.83420522,kidneybeans
5,65,16,5.866744372,21.32776028,18.48522915,109.1013261,kidneybeans
32,79,15,5.706198621,23.90910104,20.74619325,81.60211243,kidneybeans
11,78,22,5.940546818,23.89756791,22.74378977,112.6616435,kidneybeans
0,55,22,5.916779289,22.98666928,20.57940608,143.8584938,kidneybeans
14,59,15,5.779090476,21.35135729,22.91244883,146.4548645,kidneybeans
29,68,23,5.82738029,24.1638445,19.27907819,116.7324324,kidneybeans
32,68,19,5.514234138,24.62835037,18.18325169,149.7441028,kidneybeans
17,64,17,5.662699104,21.02213209,24.93896255,124.6118471,kidneybeans
13,69,19,5.86390397,17.30844532,20.01730914,115.199245,kidneybeans
14,67,22,5.624690248,23.82576704,24.75485098,84.64143632,kidneybeans
9,69,20,5.591560999,19.30607278,23.96362799,129.3449326,kidneybeans
20,73,22,5.976312538,16.03768615,22.33195853,130.3900798,kidneybeans
40,78,20,5.669236258,19.18572809,20.83398341,80.15293435,kidneybeans
27,72,23,5.961934481,19.92889503,21.79992115,64.02640797,kidneybeans
14,67,15,5.690065688,19.56376468,24.67385131,139.2921004,kidneybeans
7,56,18,5.698371311,18.31357543,24.32991649,76.14153904,kidneybeans
27,65,18,5.59503163,20.10993761,23.22323766,73.36386477,kidneybeans
30,63,16,5.525904526,23.60506572,21.90539577,100.5978728,kidneybeans
37,70,25,5.819403771,19.73136909,24.89487354,84.06354115,kidneybeans
27,63,19,5.562201934,20.93409877,21.1893007,133.1914419,kidneybeans
22,60,24,5.630664753,18.78226261,20.24768314,104.2570723,kidneybeans
3,72,24,6.03160778,36.51268371,57.92887167,122.6539694,pigeonpeas
40,59,23,5.269084669,36.89163721,62.73178224,163.7266551,pigeonpeas
33,73,23,5.985792703,29.23540524,59.38967583,103.3301803,pigeonpeas
27,57,24,6.09186275,27.33534897,43.35795962,142.3303677,pigeonpeas
